book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Aaloo-Maaloo-Kaaloo___Central_Bikol,174,22,1.857142857,5.022988506,7.909090909,2.224137931,3,0.367816092,2.224137931,1.827586207,1.494252874,0.850574713,0.275862069,0.247126437,0.109195402,0.229885057,0.034482759,0.005747126,0.720289855,0.726086957,0.726086957,0.736231884,0.708695652,0.71884058,0.707246377,0.725296443,0.68972332,0.654150198,0.638339921,0.638339921,0.693675889,0.632411067,1
Ang_Ladybird___Central_Bikol,148,16,1.142857143,4.635135135,9.25,1.912162162,1,0.506756757,1.912162162,1.655405405,1.398648649,0.844594595,0.452702703,0.351351351,0.209459459,0.351351351,0.101351351,0,0.677298311,0.673545966,0.639774859,0.656660413,0.682926829,0.656660413,0.666041276,0.568421053,0.607894737,0.507894737,0.518421053,0.55,0.542105263,0.531578947,1
Ang_Pag-arog_ni_Toto_sa_saiyang_Lolo___Central_Bikol-v12022.08.25T085616,108,15,0,4.564814815,7.2,2.009259259,0,0.268518519,2.009259259,1.805555556,1.314814815,0.861111111,0.240740741,0.194444444,0.12037037,0.175925926,0,0,0.59375,0.546875,0.606770833,0.643229167,0.666666667,0.596354167,0.578125,0.516363636,0.6,0.501818182,0.48,0.614545455,0.534545455,0.501818182,1
Ang_Samuyang_Baka_na_Si_Pedro___Central_Bikol,79,12,1.083333333,4.696202532,6.583333333,1.974683544,3,0.506329114,1.974683544,1.797468354,1.303797468,0.886075949,0.430379747,0.367088608,0.17721519,0.430379747,0.025316456,0.012658228,0.602076125,0.647058824,0.584775087,0.570934256,0.60899654,0.612456747,0.591695502,0.531400966,0.594202899,0.468599034,0.483091787,0.599033816,0.52173913,0.468599034,1
Ano_ang_makangangalas_na_ginibo_ni_Ameena____Central_Bikol,101,23,1.2,4.623762376,4.391304348,2.099009901,4,0.415841584,2.099009901,1.623762376,1.306930693,0.633663366,0.366336634,0.217821782,0.158415842,0.297029703,0.079207921,0.00990099,0.631868132,0.637362637,0.645604396,0.631868132,0.637362637,0.645604396,0.626373626,0.578544061,0.61302682,0.555555556,0.486590038,0.551724138,0.555555556,0.544061303,1
Ano_ta_Dai_Nagtatalubo____Central_Bikol,181,15,2.818181818,4.817679558,12.06666667,1.994475138,1,0.342541436,1.994475138,1.73480663,1.44198895,0.906077348,0.309392265,0.254143646,0.154696133,0.226519337,0.049723757,0.022099448,0.604105572,0.618768328,0.590909091,0.624633431,0.620234604,0.626099707,0.601173021,0.581300813,0.678861789,0.544715447,0.577235772,0.62398374,0.603658537,0.544715447,1
An_Awit_nin_Duri-duri___Central_Bikol,240,67,1.619047619,5.079166667,3.582089552,2.158333333,11,0.479166667,2.158333333,1.720833333,1.454166667,0.8625,0.3375,0.216666667,0.2,0.3375,0.05,0.020833333,0.554140127,0.561571125,0.557324841,0.543524416,0.588110403,0.554140127,0.562632696,0.508270677,0.535338346,0.45112782,0.461654135,0.523308271,0.508270677,0.479699248,1
An_Bubuyog_asin_an_Elepante___Central_Bikol,90,18,1.416666667,4.555555556,5,1.9,0,0.4,1.9,1.633333333,1.433333333,0.777777778,0.344444444,0.288888889,0.066666667,0.133333333,0.011111111,0,0.65,0.66875,0.65,0.6125,0.603125,0.65,0.634375,0.543478261,0.67826087,0.586956522,0.543478261,0.595652174,0.556521739,0.569565217,1
An_Ikus_asin_Ayam__Nyain_an_Ikus_____Central_Bikol,245,37,1.323529412,4.489795918,6.621621622,1.853061224,0,0.289795918,1.853061224,1.395918367,1.587755102,0.86122449,0.257142857,0.224489796,0.093877551,0.163265306,0.024489796,0.016326531,0.686460808,0.699524941,0.688836105,0.657957245,0.64608076,0.687648456,0.705463183,0.672945205,0.77739726,0.589041096,0.566780822,0.616438356,0.640410959,0.613013699,1
An_Kawat_ni_Mona_buda_Milo___Central_Bikol,74,11,1.166666667,4.662162162,6.727272727,1.959459459,0,0.513513514,1.959459459,1.72972973,1.351351351,1,0.391891892,0.351351351,0.202702703,0.364864865,0.135135135,0.013513514,0.674074074,0.692592593,0.644444444,0.651851852,0.674074074,0.681481481,0.659259259,0.676923077,0.738461538,0.528205128,0.456410256,0.651282051,0.512820513,0.553846154,1
