book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Akong Higala,95,22,0,4.757894737,4.318181818,2.157894737,0,0.284210526,2.157894737,1.873684211,1.473684211,0.873684211,0.252631579,0.157894737,0.136842105,0.189473684,0.010526316,0,0.689655172,0.635057471,0.666666667,0.663793103,0.640804598,0.686781609,0.658045977,0.634146341,0.552845528,0.772357724,0.650406504,0.601626016,0.646341463,0.630081301,1
Alibangbang ug Kalaw,40,7,0,5.4,5.714285714,2.05,2,0.65,2.05,1.8,1.825,1.05,0.65,0.375,0.15,0.225,0.15,0.025,0.744318182,0.761363636,0.75,0.744318182,0.761363636,0.744318182,0.772727273,0.691176471,0.705882353,0.625,0.735294118,0.676470588,0.720588235,0.720588235,1
Amigo Kong Piso,52,13,0,4.75,4,2.153846154,0,0.269230769,2.153846154,1.826923077,1.538461538,0.980769231,0.230769231,0.211538462,0.153846154,0.173076923,0.019230769,0,0.608247423,0.556701031,0.577319588,0.572164948,0.572164948,0.597938144,0.577319588,0.549295775,0.514084507,0.654929577,0.584507042,0.563380282,0.577464789,0.584507042,1
An Akon Pamilya,70,12,0,4.842857143,5.833333333,2.142857143,1,0.285714286,2.142857143,1.785714286,1.685714286,1,0.228571429,0.228571429,0.185714286,0.242857143,0,0,0.732342007,0.672862454,0.713754647,0.713754647,0.713754647,0.728624535,0.687732342,0.708542714,0.613065327,0.733668342,0.683417085,0.623115578,0.733668342,0.663316583,1
Ang  Paypay ni Pipay,29,6,0,4.620689655,4.833333333,1.931034483,0,0.310344828,1.931034483,1.689655172,1.482758621,0.827586207,0.275862069,0.172413793,0.172413793,0.206896552,0,0,0.59047619,0.580952381,0.59047619,0.619047619,0.60952381,0.6,0.59047619,0.415584416,0.25974026,0.675324675,0.519480519,0.298701299,0.350649351,0.363636364,1
Ang Adlaw,83,22,1.043478261,5.168674699,3.772727273,2.313253012,3,0.337349398,2.313253012,1.987951807,1.734939759,0.975903614,0.301204819,0.21686747,0.192771084,0.277108434,0.012048193,0,0.722222222,0.725146199,0.777777778,0.722222222,0.701754386,0.745614035,0.733918129,0.73828125,0.65234375,0.87890625,0.6796875,0.58203125,0.68359375,0.65625,1
Ang Akong Alkansiya,28,6,0,4.821428571,4.666666667,2.107142857,0,0.5,2.107142857,1.678571429,1.5,0.892857143,0.5,0.25,0.214285714,0.357142857,0.107142857,0,0.698113208,0.622641509,0.70754717,0.716981132,0.669811321,0.679245283,0.650943396,0.594936709,0.443037975,0.658227848,0.53164557,0.481012658,0.506329114,0.455696203,1
Ang Akong Dulaan,56,10,0,4.589285714,5.6,2.053571429,0,0.339285714,2.053571429,1.553571429,1.517857143,0.75,0.267857143,0.196428571,0.107142857,0.142857143,0.035714286,0,0.605,0.545,0.645,0.605,0.57,0.595,0.56,0.572413793,0.544827586,0.689655172,0.544827586,0.579310345,0.606896552,0.531034483,1
Ang Akong Higala,49,5,1.333333333,5.163265306,9.8,2.224489796,2,0.469387755,2.224489796,1.795918367,1.734693878,0.959183673,0.408163265,0.285714286,0.102040816,0.204081633,0.040816327,0,0.655172414,0.586206897,0.674876847,0.650246305,0.63546798,0.660098522,0.620689655,0.651612903,0.55483871,0.729032258,0.6,0.587096774,0.632258065,0.612903226,1
Ang Akong Suod Nga Amigo,83,13,0,4.409638554,6.384615385,2.012048193,0,0.337349398,2.012048193,1.578313253,1.34939759,0.759036145,0.240963855,0.180722892,0.156626506,0.204819277,0.024096386,0.012048193,0.667844523,0.636042403,0.64664311,0.628975265,0.660777385,0.632508834,0.625441696,0.606965174,0.552238806,0.691542289,0.587064677,0.597014925,0.651741294,0.587064677,1
