book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Aaloo-Maaloo-Kaaloo___Hiligaynon (1),178,22,2.142857143,4.870786517,8.090909091,2.151685393,7,0.466292135,2.151685393,1.769662921,1.365168539,0.803370787,0.365168539,0.280898876,0.162921348,0.308988764,0.028089888,0,0.720760234,0.711988304,0.738304094,0.755847953,0.742690058,0.738304094,0.722222222,0.724550898,0.596806387,0.710578842,0.706586826,0.614770459,0.690618762,0.632734531,1
Aaloo-Maaloo-Kaaloo___Hiligaynon,178,22,2.142857143,4.870786517,8.090909091,2.151685393,7,0.466292135,2.151685393,1.769662921,1.365168539,0.803370787,0.365168539,0.280898876,0.162921348,0.308988764,0.028089888,0,0.720760234,0.711988304,0.738304094,0.755847953,0.742690058,0.738304094,0.722222222,0.724550898,0.596806387,0.710578842,0.706586826,0.614770459,0.690618762,0.632734531,1
Adlaw_sang_Karnabal___Hiligaynon-v12023.03.09T004416,175,35,1.260869565,4.977142857,5,2.091428571,3,0.508571429,2.091428571,1.834285714,1.365714286,0.914285714,0.457142857,0.377142857,0.222857143,0.382857143,0.017142857,0.005714286,0.585152838,0.558951965,0.585152838,0.595342067,0.592430859,0.62154294,0.604075691,0.521825397,0.450396825,0.496031746,0.509920635,0.51984127,0.525793651,0.482142857,1
Ang_Akon_Hardin___Hiligaynon,347,42,1.2,4.922190202,8.261904762,1.930835735,13,0.740634006,1.930835735,1.478386167,1.403458213,0.752161383,0.527377522,0.305475504,0.259365994,0.463976945,0.100864553,0.020172911,0.486686391,0.48816568,0.467455621,0.51035503,0.493343195,0.50147929,0.512573964,0.387775551,0.45490982,0.398797595,0.513026052,0.504008016,0.521042084,0.528056112,1
Ang_Akon_Lawas___Hiligaynon-v12023.03.04T124314,239,21,1.285714286,4.648535565,11.38095238,1.907949791,7,0.539748954,1.907949791,1.426778243,1.493723849,0.80334728,0.435146444,0.221757322,0.179916318,0.271966527,0.075313808,0.033472803,0.582949309,0.555299539,0.541474654,0.602534562,0.58640553,0.605990783,0.588709677,0.512738854,0.522292994,0.530254777,0.554140127,0.571656051,0.606687898,0.560509554,1
Ang_Akon_Pula_nga_Palda___Hiligaynon,277,19,1.666666667,4.841155235,14.57894737,1.870036101,10,0.76534296,1.870036101,1.411552347,1.371841155,0.779783394,0.57400722,0.339350181,0.288808664,0.451263538,0.119133574,0.0433213,0.397737983,0.375117813,0.3600377,0.429783223,0.409048068,0.417530631,0.429783223,0.303184713,0.385987261,0.296815287,0.41656051,0.438216561,0.450955414,0.459872611,1
Ang_Akon_Puluy-an___Hiligaynon-v12022.10.11T052702,132,16,0,4.863636364,8.25,2.060606061,4,0.409090909,2.060606061,1.765151515,1.583333333,0.924242424,0.295454545,0.181818182,0.098484848,0.257575758,0.007575758,0,0.683168317,0.657425743,0.695049505,0.685148515,0.693069307,0.712871287,0.647524752,0.622282609,0.605978261,0.66576087,0.644021739,0.660326087,0.684782609,0.641304348,1
Ang_Alibangbang_kag_ang_Kalaw___Hiligaynon-v12022.08.16T010055,179,14,2.642857143,5.145251397,12.78571429,2.016759777,8,0.642458101,2.016759777,1.547486034,1.608938547,0.82122905,0.480446927,0.268156425,0.240223464,0.368715084,0.078212291,0.005586592,0.434782609,0.421195652,0.414402174,0.470108696,0.438858696,0.448369565,0.46875,0.345323741,0.460431655,0.354316547,0.537769784,0.534172662,0.56294964,0.611510791,1
Ang_amon_baka_nga_si_Pendo___Hiligaynon-v12022.12.07T144317,81,10,1.2,4.320987654,8.1,1.827160494,0,0.419753086,1.827160494,1.654320988,1.222222222,0.851851852,0.333333333,0.271604938,0.148148148,0.308641975,0.012345679,0,0.644194757,0.696629213,0.674157303,0.715355805,0.700374532,0.72659176,0.70411985,0.684782609,0.581521739,0.717391304,0.652173913,0.554347826,0.663043478,0.614130435,1
Ang_Amon_Pamilya___Hiligaynon-v12022.08.16T010025,192,17,2.4375,5.286458333,11.29411765,2.09375,8,0.661458333,2.09375,1.682291667,1.604166667,0.869791667,0.489583333,0.322916667,0.239583333,0.411458333,0.0625,0.005208333,0.440781441,0.42002442,0.415140415,0.47008547,0.433455433,0.449328449,0.46031746,0.351910828,0.426751592,0.366242038,0.51910828,0.498407643,0.538216561,0.576433121,1
ANG_BAKA_NGA_MAY_ISA_KA_SUNGAY___Hiligaynon-v12023.03.03T125058,99,9,1.375,4.676767677,11,2.04040404,2,0.424242424,2.04040404,1.606060606,1.383838384,0.848484848,0.313131313,0.242424242,0.151515152,0.303030303,0.02020202,0.01010101,0.716666667,0.691666667,0.686111111,0.7,0.688888889,0.719444444,0.711111111,0.634241245,0.560311284,0.626459144,0.645914397,0.583657588,0.618677043,0.583657588,1
Ang_buyog_kag_Ang_Elepante___Hiligaynon,104,19,1.666666667,4.346153846,5.473684211,1.778846154,1,0.5,1.778846154,1.461538462,1.336538462,0.711538462,0.346153846,0.25,0.115384615,0.298076923,0,0,0.666666667,0.623563218,0.640804598,0.66091954,0.617816092,0.658045977,0.652298851,0.602459016,0.590163934,0.610655738,0.737704918,0.581967213,0.631147541,0.725409836,1
Ang_Dungol_nga_Millipede___Hiligaynon-v12023.03.05T034425,169,19,1.368421053,5.25443787,8.894736842,2.041420118,6,0.852071006,2.041420118,1.562130178,1.556213018,0.846153846,0.644970414,0.372781065,0.366863905,0.526627219,0.124260355,0.029585799,0.438108484,0.411682893,0.403337969,0.463143255,0.417246175,0.442280946,0.450625869,0.373865699,0.399274047,0.359346642,0.477313975,0.451905626,0.486388385,0.466424682,1
Ang_Duta___Hiligaynon-v12022.12.01T072625,125,17,1.076923077,4.616,7.352941176,2.008,3,0.4,2.008,1.696,1.448,0.848,0.304,0.144,0.112,0.232,0.04,0.008,0.666666667,0.628888889,0.677777778,0.66,0.684444444,0.704444444,0.666666667,0.557275542,0.572755418,0.631578947,0.66873065,0.59752322,0.653250774,0.609907121,1
