book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Aaloo-Maaloo-Kaaloo___Kinaray-a,156,23,1.866666667,4.737179487,6.782608696,2.166666667,5,0.358974359,2.166666667,1.775641026,1.294871795,0.75,0.256410256,0.198717949,0.083333333,0.262820513,0.012820513,0,0.692573402,0.713298791,0.711571675,0.740932642,0.744386874,0.720207254,0.70984456,0.676190476,0.573809524,0.628571429,0.645238095,0.561904762,0.652380952,0.642857143,1
Akun_Pula_Nga_Palda____Kinaray-a,262,20,1.625,4.992366412,13.1,1.942748092,11,0.790076336,1.942748092,1.442748092,1.446564885,0.801526718,0.595419847,0.347328244,0.270992366,0.461832061,0.129770992,0.045801527,0.387127762,0.367915466,0.354466859,0.426512968,0.414024976,0.422670509,0.424591739,0.291773779,0.376606684,0.290488432,0.403598972,0.426735219,0.435732648,0.455012853,1
Amo_Dya_si_Tito_Sam___Kinaray-a-v12022.08.26T092005,163,9,2.777777778,5.036809816,18.11111111,2.012269939,7,0.63190184,2.012269939,1.552147239,1.527607362,0.785276074,0.472392638,0.282208589,0.239263804,0.386503067,0.079754601,0.006134969,0.425727412,0.405819296,0.381316998,0.453292496,0.424196018,0.431852986,0.464012251,0.300613497,0.431492843,0.296523517,0.447852761,0.523517382,0.519427403,0.611451943,1
Ang_Akun_Lawas___Kinaray-a,217,22,1.363636364,4.857142857,9.863636364,1.976958525,5,0.622119816,1.976958525,1.506912442,1.566820276,0.861751152,0.483870968,0.253456221,0.188940092,0.350230415,0.078341014,0.032258065,0.56302521,0.56062425,0.549819928,0.576230492,0.608643457,0.594237695,0.589435774,0.533333333,0.536585366,0.507317073,0.551219512,0.58699187,0.6,0.598373984,1
Ang_Akun_mga_Kasapatan___Kinaray-a,320,25,2,4.378125,12.8,1.825,5,0.48125,1.825,1.465625,1.3125,0.78125,0.33125,0.215625,0.1375,0.30625,0.01875,0.003125,0.667595172,0.663881151,0.651810585,0.667595172,0.672237697,0.678737233,0.673166202,0.591269841,0.552910053,0.575396825,0.60978836,0.599206349,0.642857143,0.678571429,1
Ang_Amo_kag_ang_Saging___Kinaray-a,377,33,1.392857143,4.859416446,11.42424242,1.957559682,10,0.557029178,1.957559682,1.578249337,1.440318302,0.811671088,0.432360743,0.299734748,0.185676393,0.342175066,0.068965517,0.029177719,0.565247732,0.561060712,0.563154222,0.589672017,0.577808793,0.593859037,0.600837404,0.528046422,0.558027079,0.536750484,0.622823985,0.561895551,0.627659574,0.632495164,1
Ang_Amun_Pamilya___Kinaray-a-v12022.08.30T014208,192,18,1.705882353,5.25,10.66666667,2.104166667,8,0.666666667,2.104166667,1.671875,1.630208333,0.864583333,0.489583333,0.302083333,0.270833333,0.4375,0.072916667,0.010416667,0.448275862,0.429802956,0.412561576,0.474137931,0.451970443,0.447044335,0.471674877,0.341935484,0.427419355,0.372580645,0.493548387,0.5,0.553225806,0.625806452,1
Ang_Bahul_nga_Keyk___Kinaray-a,114,13,1.384615385,4.140350877,8.769230769,1.51754386,0,0.429824561,1.51754386,1.271929825,1.070175439,0.692982456,0.350877193,0.219298246,0.043859649,0.149122807,0.01754386,0,0.628985507,0.588405797,0.565217391,0.666666667,0.655072464,0.646376812,0.631884058,0.490825688,0.591743119,0.518348624,0.619266055,0.660550459,0.660550459,0.752293578,1
Ang_Buyog_kag_ang_Elepante___Kinaray-a,93,19,1.666666667,4.924731183,4.894736842,1.88172043,2,0.559139785,1.88172043,1.634408602,1.516129032,0.849462366,0.408602151,0.258064516,0.204301075,0.344086022,0.064516129,0.064516129,0.60724234,0.582172702,0.587743733,0.601671309,0.590529248,0.610027855,0.610027855,0.576923077,0.573076923,0.542307692,0.696153846,0.569230769,0.619230769,0.730769231,1
Ang_Iskedyul_ni_Momo___Kinaray-a,93,13,1.923076923,5.602150538,7.153846154,2.462365591,9,0.505376344,2.462365591,2.172043011,1.698924731,1.064516129,0.483870968,0.376344086,0.193548387,0.408602151,0.053763441,0.010752688,0.628992629,0.619164619,0.611793612,0.609336609,0.587223587,0.680589681,0.614250614,0.583617747,0.529010239,0.590443686,0.52559727,0.529010239,0.583617747,0.600682594,1
