book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Amigo_sa_Natad___Minasbate-v12023.03.24T055425,385,28,1.84,4.932467532,13.75,2.096103896,18,0.550649351,2.096103896,1.654545455,1.503896104,0.792207792,0.425974026,0.280519481,0.220779221,0.381818182,0.057142857,0.007792208,0.479787939,0.467196819,0.451954937,0.497017893,0.489728297,0.483764082,0.503644798,0.376325088,0.493816254,0.390459364,0.498233216,0.60335689,0.572438163,0.574204947,1
Amo_kag_Saging____Minasbate,240,21,1.722222222,4.2125,11.42857143,1.8375,1,0.2875,1.8375,1.5875,1.220833333,0.716666667,0.220833333,0.170833333,0.075,0.225,0.008333333,0,0.764705882,0.750326797,0.762091503,0.760784314,0.758169935,0.785620915,0.755555556,0.712909441,0.737957611,0.714836224,0.709055877,0.693641618,0.815028902,0.685934489,1
Ang_Leon_na_Naga-dalagan_kag_an_Baka_na_Naga-lakat___Minasbate-v12022.10.24T023017,81,9,1.666666667,4.222222222,9,1.765432099,1,0.382716049,1.765432099,1.395061728,1.37037037,0.740740741,0.308641975,0.12345679,0.074074074,0.148148148,0.012345679,0,0.723735409,0.73151751,0.723735409,0.715953307,0.719844358,0.727626459,0.727626459,0.626436782,0.626436782,0.620689655,0.683908046,0.683908046,0.706896552,0.683908046,1
Ang_Masitasan___Minasbate-v12022.10.24T021831,231,20,1.4,4.948051948,11.55,2.021645022,6,0.593073593,2.021645022,1.545454545,1.506493506,0.835497835,0.424242424,0.29004329,0.255411255,0.424242424,0.095238095,0.034632035,0.420417124,0.421514819,0.398463227,0.4467618,0.430296378,0.444566411,0.457738749,0.346097202,0.41826215,0.359351988,0.488954345,0.455081001,0.513991163,0.508100147,1
Aninipot___Minasbate-v12022.07.30T143200,602,68,1.7,4.752491694,8.852941176,2.00166113,19,0.426910299,2.00166113,1.719269103,1.450166113,0.878737542,0.320598007,0.247508306,0.207641196,0.350498339,0.061461794,0.026578073,0.548601864,0.553928096,0.554815801,0.574345317,0.565024412,0.584110075,0.577896138,0.42831216,0.504537205,0.436176649,0.493042952,0.513006655,0.572897762,0.529945554,1
An_Adlaw_na_Umuran_san_mga_Isda___Minasbate-v12022.07.31T093753,353,35,1.5,4.793201133,10.08571429,2.028328612,14,0.47592068,2.028328612,1.71388102,1.447592068,0.852691218,0.354107649,0.266288952,0.201133144,0.382436261,0.031161473,0.008498584,0.552294959,0.547780286,0.526711813,0.562829195,0.55530474,0.561324304,0.570353649,0.475257732,0.520618557,0.472164948,0.532989691,0.573195876,0.61443299,0.563917526,1
An_Akon_Dako_na_Pamilya___Minasbate-v12022.07.31T094130,358,48,1.324324324,4.337988827,7.458333333,1.846368715,5,0.407821229,1.846368715,1.494413408,1.298882682,0.748603352,0.287709497,0.195530726,0.164804469,0.310055866,0.041899441,0.002793296,0.614285714,0.584033613,0.570588235,0.630252101,0.613445378,0.610084034,0.609243697,0.492822967,0.550239234,0.498803828,0.559808612,0.601674641,0.66507177,0.616028708,1
An_Akon_Lawas___Minasbate (1),211,22,1.363636364,4.748815166,9.590909091,2.004739336,7,0.473933649,2.004739336,1.497630332,1.592417062,0.819905213,0.36492891,0.232227488,0.18957346,0.308056872,0.075829384,0.033175355,0.576335878,0.559796438,0.549618321,0.592875318,0.589058524,0.606870229,0.58778626,0.504363002,0.527050611,0.537521815,0.546247818,0.57417103,0.612565445,0.563699825,1
An_Akon_Lawas___Minasbate,211,22,1.363636364,4.748815166,9.590909091,2.004739336,7,0.473933649,2.004739336,1.497630332,1.592417062,0.819905213,0.36492891,0.232227488,0.18957346,0.308056872,0.075829384,0.033175355,0.576335878,0.559796438,0.549618321,0.592875318,0.589058524,0.606870229,0.58778626,0.504363002,0.527050611,0.537521815,0.546247818,0.57417103,0.612565445,0.563699825,1
An_Akon_Maestra___Minasbate,72,9,1.625,4.347222222,8,1.944444444,1,0.236111111,1.944444444,1.513888889,1.333333333,0.652777778,0.180555556,0.097222222,0.055555556,0.208333333,0,0,0.608333333,0.575,0.566666667,0.6,0.579166667,0.579166667,0.570833333,0.532934132,0.508982036,0.550898204,0.610778443,0.497005988,0.628742515,0.54491018,1
An_Akon_Mga_Paryente___Minasbate-v12022.07.31T094909,310,36,1.193548387,4.406451613,8.611111111,1.819354839,5,0.438709677,1.819354839,1.470967742,1.290322581,0.719354839,0.338709677,0.264516129,0.180645161,0.316129032,0.038709677,0.006451613,0.592417062,0.572511848,0.563981043,0.609478673,0.601895735,0.61042654,0.601895735,0.492656876,0.584779706,0.504672897,0.583444593,0.638184246,0.624833111,0.646194927,1
An_Akon_Pamilya___Minasbate-v12022.07.31T095344,380,43,1.242424242,4.802631579,8.837209302,2.042105263,15,0.489473684,2.042105263,1.634210526,1.45,0.778947368,0.342105263,0.218421053,0.210526316,0.35,0.065789474,0.007894737,0.514982578,0.496167247,0.494076655,0.518466899,0.491289199,0.541463415,0.521254355,0.407582938,0.495734597,0.460663507,0.555450237,0.536492891,0.640758294,0.622748815,1
An_akon_Pula_na_Palda___Minasbate,268,18,1.714285714,4.895522388,14.88888889,1.902985075,10,0.712686567,1.902985075,1.391791045,1.458955224,0.805970149,0.548507463,0.328358209,0.291044776,0.414179104,0.123134328,0.048507463,0.391513983,0.378977821,0.356798457,0.424300868,0.411764706,0.414657666,0.429122469,0.296344648,0.407310705,0.298955614,0.422976501,0.447780679,0.466057441,0.471279373,1
An_Akon_Tanoman_san_Pagkaon___Minasbate,392,40,1.214285714,4.780612245,9.8,1.829081633,13,0.599489796,1.829081633,1.410714286,1.339285714,0.729591837,0.352040816,0.221938776,0.198979592,0.346938776,0.081632653,0.015306122,0.453559322,0.452881356,0.445423729,0.465762712,0.445423729,0.463050847,0.471864407,0.391829155,0.507892293,0.410399257,0.547818013,0.559888579,0.584029712,0.568245125,1
An_Amon_Adlaw_sa_Peryahan___Minasbate-v12022.10.20T064318,198,32,1.421052632,4.949494949,6.1875,2.116161616,9,0.414141414,2.116161616,1.823232323,1.580808081,1.005050505,0.383838384,0.277777778,0.212121212,0.358585859,0.060606061,0.005050505,0.639175258,0.649484536,0.62628866,0.663659794,0.676546392,0.672680412,0.675257732,0.550699301,0.54020979,0.559440559,0.575174825,0.585664336,0.657342657,0.571678322,1
An_Bag-o_na_Kalo_ni_Bentong___Minasbate-v12022.07.31T100731,407,61,1.34,4.71007371,6.672131148,1.968058968,9,0.44963145,1.968058968,1.663390663,1.434889435,0.906633907,0.383292383,0.272727273,0.226044226,0.334152334,0.073710074,0.007371007,0.614770459,0.593479707,0.604790419,0.638057219,0.614770459,0.618762475,0.644045243,0.569735643,0.599817685,0.557885141,0.615314494,0.631722881,0.677301732,0.665451231,1
An_Bag_Ni_Tok___Minasbate-v12022.07.31T100251,536,47,1.777777778,4.695895522,11.40425532,1.992537313,20,0.404850746,1.992537313,1.688432836,1.423507463,0.882462687,0.28358209,0.207089552,0.167910448,0.335820896,0.067164179,0.005597015,0.602134146,0.593495935,0.583333333,0.613821138,0.597052846,0.620426829,0.62296748,0.507713885,0.523141655,0.522440393,0.530154278,0.570126227,0.612903226,0.574333801,1
An_Baryo_san_mga_Rosas___Minasbate-v12022.08.01T064219,620,53,1.375,4.569354839,11.69811321,1.935483871,22,0.401612903,1.935483871,1.659677419,1.39516129,0.817741935,0.29516129,0.229032258,0.148387097,0.317741935,0.035483871,0.003225806,0.60742098,0.610169492,0.606962895,0.63032524,0.63032524,0.63994503,0.632157581,0.526588846,0.583657588,0.535019455,0.569390402,0.603761349,0.675745785,0.622568093,1
An_Buyog_kag_an_Elepante___Minasbate,93,17,1.5,4,5.470588235,1.795698925,0,0.172043011,1.795698925,1.559139785,1.247311828,0.655913978,0.139784946,0.139784946,0.075268817,0.161290323,0,0,0.68705036,0.636690647,0.651079137,0.64028777,0.633093525,0.665467626,0.661870504,0.614130435,0.641304348,0.657608696,0.706521739,0.635869565,0.744565217,0.717391304,1
An_Dako-dako_na_Megaphone___Minasbate-v12022.08.01T064654,580,71,1.52173913,4.767241379,8.169014085,2.012068966,17,0.431034483,2.012068966,1.739655172,1.5,0.913793103,0.334482759,0.236206897,0.213793103,0.35,0.05862069,0.001724138,0.603233256,0.597228637,0.599538106,0.613856813,0.599538106,0.627713626,0.615704388,0.501270648,0.555908513,0.539390089,0.576238882,0.552096569,0.640406607,0.610546379,1
An_Dyurugtay_na_Bituon_ni_Ali___Minasbate,167,17,1.25,4.053892216,9.823529412,1.832335329,1,0.239520958,1.832335329,1.598802395,1.137724551,0.754491018,0.203592814,0.161676647,0.095808383,0.239520958,0.017964072,0,0.702970297,0.712871287,0.706930693,0.683168317,0.718811881,0.720792079,0.695049505,0.571428571,0.56547619,0.62797619,0.56547619,0.550595238,0.651785714,0.610119048,1
An_Dyutay_na_Amo_kag_an_Isda___Minasbate,126,17,1.272727273,4.301587302,7.411764706,1.849206349,3,0.30952381,1.849206349,1.587301587,1.301587302,0.746031746,0.206349206,0.150793651,0.174603175,0.285714286,0.023809524,0.015873016,0.648910412,0.636803874,0.646489104,0.634382567,0.636803874,0.668280872,0.629539952,0.535211268,0.517605634,0.616197183,0.573943662,0.514084507,0.658450704,0.549295775,1
