book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Aaloo-Maaloo-Kaaloo___Rinconada,173,25,1.375,4.76300578,6.92,2.150289017,4,0.352601156,2.150289017,1.786127168,1.38150289,0.780346821,0.25433526,0.23699422,0.144508671,0.23699422,0.011560694,0,0.688372093,0.713178295,0.703875969,0.728682171,0.737984496,0.702325581,0.689922481,0.703624733,0.618336887,0.656716418,0.611940299,0.667377399,0.658848614,0.597014925,1
Aldow_sa_Perya___Rinconada,180,39,1.260869565,4.605555556,4.615384615,1.933333333,6,0.316666667,1.933333333,1.805555556,1.327777778,0.9,0.216666667,0.177777778,0.138888889,0.25,0.016666667,0.005555556,0.590342679,0.609034268,0.605919003,0.644859813,0.676012461,0.64953271,0.627725857,0.525274725,0.659340659,0.496703297,0.523076923,0.797802198,0.657142857,0.487912088,1
Amo_di_si_Pay_Sam___Rinconada-v12023.03.30T015657,165,11,1.818181818,4.812121212,15,2.006060606,5,0.521212121,2.006060606,1.539393939,1.484848485,0.812121212,0.381818182,0.236363636,0.218181818,0.327272727,0.078787879,0.006060606,0.457006369,0.433121019,0.421974522,0.487261146,0.46656051,0.469745223,0.48566879,0.288172043,0.432258065,0.333333333,0.438709677,0.556989247,0.516129032,0.546236559,1
Aninipot___Rinconada-v12023.03.24T061345,462,59,1.909090909,5.287878788,7.830508475,2.166666667,16,0.658008658,2.166666667,1.859307359,1.5995671,0.971861472,0.525974026,0.376623377,0.335497835,0.538961039,0.086580087,0.028138528,0.520547945,0.516489092,0.516996449,0.537798072,0.538812785,0.536276002,0.542364282,0.427627231,0.489755453,0.401850628,0.461996034,0.524785195,0.504957039,0.488433576,1
Antataro__Nakaistar_sa_Natad___Rinconada,291,27,1.181818182,5.068728522,10.77777778,1.721649485,12,0.838487973,1.721649485,1.254295533,1.250859107,0.652920962,0.47766323,0.261168385,0.271477663,0.412371134,0.120274914,0.020618557,0.357082273,0.356234097,0.329940628,0.385072095,0.378286684,0.37913486,0.391857506,0.308126411,0.534988713,0.313769752,0.5248307,0.586907449,0.591422122,0.566591422,1
An_Balay-balay___Rinconada-v12022.08.04T033634,675,82,1.517857143,4.580740741,8.231707317,1.940740741,13,0.422222222,1.940740741,1.703703704,1.333333333,0.865185185,0.361481481,0.265185185,0.205925926,0.294814815,0.054814815,0.01037037,0.591590341,0.584512906,0.564945878,0.604912573,0.64029975,0.605328893,0.587843464,0.539443155,0.590487239,0.509860789,0.509280742,0.685614849,0.587006961,0.555104408,1
An_Garden_sa_Atop____Rinconada-v12022.08.02T063444,551,53,1.904761905,4.787658802,10.39622642,2.039927405,13,0.450090744,2.039927405,1.814882033,1.406533575,0.872958258,0.344827586,0.270417423,0.172413793,0.328493648,0.034482759,0.003629764,0.600480769,0.597115385,0.58125,0.610576923,0.630769231,0.604326923,0.609615385,0.54267101,0.571335505,0.538110749,0.551140065,0.661889251,0.6247557,0.573941368,1
Awak_Ko___Rinconada (1),238,22,1.409090909,4.382352941,10.81818182,1.983193277,9,0.369747899,1.983193277,1.621848739,1.231092437,0.680672269,0.256302521,0.205882353,0.142857143,0.302521008,0.042016807,0.012605042,0.64321608,0.662060302,0.649497487,0.658291457,0.683417085,0.694723618,0.655778894,0.619546248,0.682373473,0.640488656,0.616055846,0.710296684,0.706806283,0.626527051,1
Awak_Ko___Rinconada,238,22,1.409090909,4.382352941,10.81818182,1.983193277,9,0.369747899,1.983193277,1.621848739,1.231092437,0.680672269,0.256302521,0.205882353,0.142857143,0.302521008,0.042016807,0.012605042,0.64321608,0.662060302,0.649497487,0.658291457,0.683417085,0.694723618,0.655778894,0.619546248,0.682373473,0.640488656,0.616055846,0.710296684,0.706806283,0.626527051,1
A_Aldow_na_Nag-uran_sa_Sura___Rinconada-v12023.03.31T021806,355,31,2.04,4.907042254,11.4516129,2.104225352,14,0.495774648,2.104225352,1.777464789,1.470422535,0.867605634,0.416901408,0.276056338,0.214084507,0.357746479,0.03943662,0.005633803,0.558780842,0.555152395,0.544992743,0.589985486,0.604499274,0.582002903,0.57329463,0.504416094,0.574092247,0.511285574,0.542688911,0.661432777,0.616290481,0.573110893,1
A_Alibangbang_saka_Kalaw___Rinconada-v12022.08.04T061041,141,12,1.666666667,5.24822695,11.75,2.134751773,9,0.659574468,2.134751773,1.624113475,1.65248227,0.893617021,0.489361702,0.304964539,0.276595745,0.418439716,0.09929078,0.007092199,0.434782609,0.439799331,0.404682274,0.471571906,0.466555184,0.45819398,0.488294314,0.322580645,0.522580645,0.339784946,0.488172043,0.619354839,0.589247312,0.582795699,1
A_Bag_Ni_Tok___Rinconada-v12022.08.04T060745,532,51,2.085714286,5.005639098,10.43137255,2.09962406,25,0.537593985,2.09962406,1.776315789,1.501879699,0.939849624,0.389097744,0.29887218,0.251879699,0.396616541,0.082706767,0.005639098,0.584083373,0.565135007,0.551871151,0.584557082,0.588346755,0.579819991,0.590241592,0.509481669,0.551201011,0.50505689,0.496207332,0.646017699,0.600505689,0.553729456,1
A_Banwaan_Ka_Kamayanan___Rinconada-v12022.08.04T055934,425,35,2.392857143,5.157647059,12.14285714,2.169411765,12,0.534117647,2.169411765,1.849411765,1.602352941,0.950588235,0.423529412,0.308235294,0.247058824,0.404705882,0.077647059,0.004705882,0.563605248,0.575014261,0.561323446,0.579577867,0.592698232,0.579577867,0.59098688,0.502633559,0.553047404,0.491346877,0.519939804,0.610985704,0.567343868,0.559066968,1
A_Byaheng_Kaiwasan_nira_Tok_saka_Beni___Rinconada-v12022.08.09T194622,396,65,1.340425532,5.277777778,6.092307692,2.27020202,21,0.537878788,2.27020202,1.911616162,1.606060606,0.924242424,0.421717172,0.29040404,0.23989899,0.378787879,0.075757576,0.01010101,0.549463647,0.552443385,0.523241955,0.568533969,0.591179976,0.569725864,0.564362336,0.470957614,0.532182104,0.441130298,0.491365777,0.645211931,0.567503925,0.510989011,1
A_Higanteng_Bentilador___Rinconada-v12022.08.04T054120,474,45,2.2,4.934599156,10.53333333,2.048523207,17,0.478902954,2.048523207,1.738396624,1.516877637,0.934599156,0.405063291,0.284810127,0.200421941,0.331223629,0.052742616,0.002109705,0.550215983,0.533477322,0.532397408,0.575593952,0.572354212,0.563714903,0.581533477,0.495639535,0.555232558,0.497819767,0.526162791,0.65625,0.577761628,0.533430233,1
A_Libro_Para_ki_Pepot___Rinconada-v12023.04.05T131447,647,90,1.909090909,4.737248841,7.188888889,2.052550232,15,0.445131376,2.052550232,1.771251932,1.384853168,0.834621329,0.372488408,0.27820711,0.171561051,0.315301391,0.049459042,0.001545595,0.563122924,0.575996678,0.556063123,0.574335548,0.608388704,0.589285714,0.573920266,0.517026107,0.591940976,0.513620885,0.518728717,0.65153235,0.608967083,0.562429058,1
