book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tag_bigram_sim,bik_bigram_sim,ceb_bigram_sim,hil_bigram_sim,rin_bigram_sim,min_bigram_sim,kar_bigram_sim,tag_trigram_sim,bik_trigram_sim,ceb_trigam_sim,hil_trigam_sim,rin_trigam_sim,min_trigam_sim,kar_trigam_sim,grade_level
Ako Si Kaliwa Ako Si Kanan.txt,572,102,1.273809524,4.72027972,5.607843137,2.057692308,12,0.382867133,2.057692308,1.821678322,1.456293706,0.854895105,0.326923077,0.265734266,0.117132867,0.185314685,0.015734266,0,0.774667932,0.723908918,0.723908918,0.74573055,0.733870968,0.745256167,0.736717268,0.775081967,0.653114754,0.69442623,0.643934426,0.678032787,0.66557377,0.656393443,1
Ang Halimaw ng mga Kulay_Fil_Eng.txt,282,32,0,4.723404255,8.8125,1.982269504,8,0.418439716,1.982269504,1.663120567,1.578014184,0.872340426,0.322695035,0.258865248,0.109929078,0.191489362,0.010638298,0,0.786127168,0.717726397,0.753371869,0.739884393,0.69460501,0.75433526,0.732177264,0.821808511,0.617021277,0.680851064,0.625,0.643617021,0.658244681,0.618351064,1
Ang Mabait na Kalabaw.txt,86,13,0,4.860465116,6.615384615,2.162790698,1,0.220930233,2.162790698,1.755813953,1.73255814,0.88372093,0.197674419,0.081395349,0.034883721,0.046511628,0,0,0.870090634,0.864048338,0.833836858,0.80060423,0.776435045,0.812688822,0.821752266,0.799180328,0.614754098,0.655737705,0.663934426,0.577868852,0.700819672,0.643442623,1
Ang Pulang Laso.fil.txt,182,29,0,4.604395604,6.275862069,1.994505495,3,0.395604396,1.994505495,1.758241758,1.412087912,0.879120879,0.373626374,0.269230769,0.098901099,0.142857143,0.032967033,0,0.796324655,0.764165391,0.779479326,0.762633997,0.758039816,0.779479326,0.751914242,0.873931624,0.754273504,0.75,0.754273504,0.754273504,0.782051282,0.745726496,1
Araw Sa Palengke.txt,250,50,0,4.804,5,2.012,7,0.42,2.012,1.764,1.528,0.876,0.372,0.284,0.108,0.204,0.02,0,0.773784355,0.730443975,0.731501057,0.734672304,0.730443975,0.747357294,0.738900634,0.803468208,0.634393064,0.676300578,0.638728324,0.683526012,0.660404624,0.666184971,1
Bahay-Bahayan.fil.txt,84,11,0,4.738095238,7.636363636,2.023809524,2,0.297619048,2.023809524,1.821428571,1.619047619,0.964285714,0.238095238,0.19047619,0.107142857,0.142857143,0.023809524,0,0.836538462,0.807692308,0.794871795,0.775641026,0.708333333,0.78525641,0.778846154,0.796460177,0.628318584,0.707964602,0.637168142,0.628318584,0.681415929,0.646017699,1
Brave Little Baby Dan.txt,393,152,0,4.819338422,2.585526316,2.055979644,12,0.450381679,2.055979644,1.633587786,1.470737913,0.778625954,0.272264631,0.211195929,0.083969466,0.262086514,0.005089059,0,0.613119143,0.570281124,0.580990629,0.558232932,0.593038822,0.567603748,0.563587684,0.636861314,0.525547445,0.520072993,0.47080292,0.52919708,0.50729927,0.52189781,1
But That Wont Make Me Sleep!.txt,348,45,0,4.557471264,7.733333333,1.933908046,9,0.336206897,1.933908046,1.772988506,1.396551724,0.850574713,0.281609195,0.229885057,0.100574713,0.158045977,0.025862069,0.005747126,0.748784441,0.695299838,0.722042139,0.735008104,0.713938412,0.737439222,0.718800648,0.838052095,0.670441676,0.706681767,0.661381653,0.689694224,0.67610419,0.681766704,1
But That Wont Wake Me Up.txt,353,47,0,4.555240793,7.510638298,1.960339943,11,0.376770538,1.960339943,1.648725212,1.379603399,0.776203966,0.317280453,0.240793201,0.09631728,0.152974504,0.025495751,0,0.738019169,0.699680511,0.704472843,0.72284345,0.735623003,0.725239617,0.725239617,0.78483835,0.641025641,0.663322185,0.586399108,0.65328874,0.635451505,0.641025641,1
Ciriaco.fil.txt,150,18,0,5.166666667,8.333333333,2.173333333,5,0.506666667,2.173333333,1.846666667,1.686666667,0.973333333,0.426666667,0.293333333,0.12,0.226666667,0.026666667,0,0.714285714,0.677367576,0.690208668,0.678972713,0.678972713,0.685393258,0.672552167,0.743644068,0.580508475,0.637711864,0.591101695,0.63559322,0.669491525,0.599576271,1
